subject_id,sleep_date,lifelog_date,label__Q1,label__Q2,label__Q3,label__S1,label__S2,label__S3,label__S4,Q1,Q2,Q3,S1,S2,S3,S4
id01,2024-06-27,2024-06-26,0,0,0,0,0,1,0,0.052747470671875,0.5976184294648305,0.514395559536399,0.2557987607073481,0.47021105051749656,0.6965300666858206,0.5125952492258327
id01,2024-06-28,2024-06-27,0,0,0,0,1,1,1,0.3744831197506965,0.5846802082138872,0.554605755654091,0.4288798806914356,0.6273035297055121,0.778462441314554,0.5242209311673454
id01,2024-06-29,2024-06-28,1,0,0,1,1,1,1,0.6673269584321082,0.5751830969833313,0.5516676586125553,0.8154312513963067,0.7535450039065765,0.778462441314554,0.6126475618908451
id01,2024-06-30,2024-06-29,1,0,1,1,0,0,0,0.7695707869632767,0.619318894789524,0.5294441839783713,0.9109228300502807,0.6674969433731833,0.778462441314554,0.5521032296400956
id01,2024-07-01,2024-06-30,0,1,1,1,1,1,1,0.4384489650019909,0.6616062676618091,0.5665273868649988,0.4415543014661105,0.49661063033198655,0.778462441314554,0.47057689425788385
id01,2024-07-02,2024-07-01,0,1,1,0,1,1,0,0.3001611661269574,0.6400192608470822,0.5504987075622207,0.5168034332828358,0.5472009786862144,0.778462441314554,0.5373383105231347
id01,2024-07-03,2024-07-02,0,0,1,1,0,1,0,0.4936198364329781,0.6354802029583563,0.5539257978907847,0.7118167931792766,0.5906757033580241,0.778462441314554,0.4476636792136501
id01,2024-07-04,2024-07-03,0,0,0,1,0,1,0,0.229373453437747,0.5520671294523921,0.4893977137230983,0.31272686737239497,0.5049828846189982,0.778462441314554,0.5813123853356693
id01,2024-07-05,2024-07-04,0,0,1,0,0,1,0,0.1673728688273651,0.6419449852086953,0.5651267153782207,0.34796025342668674,0.3872585061182306,0.778462441314554,0.4204502365564432
id01,2024-07-06,2024-07-05,1,1,1,1,1,1,1,0.8091392711841277,0.3775172308772221,0.5338850340844267,0.8625821445099717,0.4621451780479127,0.7860837928486157,0.43737055027306004
id01,2024-07-07,2024-07-06,1,1,1,0,0,1,0,0.6311314872167919,0.4854941547273577,0.5381339198776877,0.8640273149650912,0.5490397932338948,0.7860837928486157,0.6430577121868596
id01,2024-07-08,2024-07-07,0,1,1,1,0,0,0,0.1532101692590923,0.4612960911212325,0.535773212746478,0.30008613361917313,0.5940585826031306,0.7860837928486157,0.4717121030365744
id01,2024-07-09,2024-07-08,1,0,0,1,1,1,1,0.3909199360115678,0.4845153203329194,0.5324737731718528,0.5145891148477071,0.4974408302825125,0.7860837928486157,0.5003751883524765
id01,2024-07-10,2024-07-09,1,1,1,1,1,1,0,0.3619905807483889,0.4038458744326658,0.5256469123516101,0.7298639826983765,0.4238050005936145,0.7860837928486157,0.5260588589989426
id01,2024-07-11,2024-07-10,0,0,0,1,1,1,1,0.6548149549915813,0.3937055077066131,0.4862745605943434,0.7469743463746878,0.6500412093778525,0.7860837928486157,0.4018396904590441
id01,2024-07-13,2024-07-12,1,0,0,1,1,1,1,0.5767002146036269,0.4826129012662843,0.5174658555311128,0.7629032789141299,0.5877304895095724,0.7860837928486157,0.5200938372261819
id01,2024-07-14,2024-07-13,0,1,1,1,0,1,0,0.7300382426693364,0.3935551852141947,0.5110934460762208,0.9215056488578459,0.6347747089258963,0.7860837928486157,0.6240306619453188
id01,2024-07-15,2024-07-14,0,1,0,0,1,1,0,0.1925602599228759,0.4980922883415901,0.6570712671151177,0.6925434395834322,0.335208264351702,0.791521028300823,0.4870505643827151
id01,2024-07-16,2024-07-15,0,1,1,1,0,1,0,0.2020200493756825,0.4654848947681106,0.620031380941474,0.3552698623449303,0.31981143223714587,0.791521028300823,0.493478340529207
id01,2024-07-17,2024-07-16,1,1,1,1,1,1,1,0.3041182503577506,0.4759012861459171,0.6406112519233915,0.6149281642291063,0.4934905942738783,0.791521028300823,0.4839130224555725
id01,2024-07-18,2024-07-17,1,1,0,1,1,1,1,0.2273953812758088,0.4765679138774056,0.34410486022062764,0.6860300774008746,0.5582979219902855,0.791521028300823,0.5125263628429138
id01,2024-07-20,2024-07-19,1,1,0,1,1,1,1,0.5017499071202471,0.4764300838438396,0.5653880961599083,0.6067599631792507,0.5746034892339709,0.791521028300823,0.5405413747817208
id01,2024-07-22,2024-07-21,0,1,0,0,0,0,0,0.2605246017507626,0.4663529326497161,0.5778149073441136,0.5694097261473695,0.32455894880829395,0.791521028300823,0.49513365595491976
id01,2024-07-23,2024-07-22,0,1,1,0,1,1,1,0.1017837101105364,0.4652270729055902,0.6588017358852352,0.381717915021141,0.417345321093468,0.791521028300823,0.5170754764648104
